id	sym	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_WNT5A_1	MCF7_WNT5A_2	MCF7_WNT5A_3
ENSG00000008952	SEC62	5819	5735	5417	4464	6414	5951
ENSG00000008988	RPS20	20435	21253	17904	14209	22864	19860
ENSG00000009307	CSDE1	166943	166348	157917	121776	182901	162466
ENSG00000009335	UBE3C	8114	7663	7908	5943	8226	7907
ENSG00000009413	REV3L	4507	4843	4690	3627	5123	4812
ENSG00000009694	TENM1	15	13	8	10	10	8
ENSG00000009709	PAX7	1	0	0	1	0	0
ENSG00000009724	MASP2	62	72	44	33	63	53
ENSG00000009765	IYD	16	25	16	18	23	20
ENSG00000009780	FAM76A	425	450	394	289	451	423
ENSG00000009790	TRAF3IP3	4	3	5	4	7	3
ENSG00000009830	POMT2	2592	2363	2080	1898	2311	2215
ENSG00000009844	VTA1	4328	4874	4261	3195	5322	4577
ENSG00000009950	MLXIPL	385	344	340	255	302	444
ENSG00000009954	BAZ1B	11844	11923	11495	8687	12195	11937
ENSG00000010017	RANBP9	3454	3863	3422	2433	3798	3675
ENSG00000010030	ETV7	3	1	1	3	1	3
ENSG00000010072	SPRTN	803	897	854	624	924	864
ENSG00000010165	METTL13	3996	4142	3734	2752	4436	3878
ENSG00000010219	DYRK4	138	138	109	100	130	108
ENSG00000010244	ZNF207	5814	6367	5733	4150	6666	6093
ENSG00000010256	UQCRC1	5236	5633	4760	3313	5692	5080
ENSG00000010270	STARD3NL	921	956	947	706	990	947
ENSG00000010278	CD9	17100	20227	16233	11872	20638	18913
ENSG00000010282	HHATL	0	1	1	0	0	1
ENSG00000010292	NCAPD2	14176	21931	15580	9192	20621	17556
ENSG00000010295	IFFO1	11	17	20	13	9	15
ENSG00000010310	GIPR	69	68	40	48	54	50
ENSG00000010318	PHF7	152	246	172	112	196	183
ENSG00000010319	SEMA3G	20	15	23	17	12	31
ENSG00000010322	NISCH	2489	2983	2310	1733	2668	2557
ENSG00000010327	STAB1	3	0	3	2	3	5
ENSG00000010361	FUZ	604	552	459	357	470	567
ENSG00000010379	SLC6A13	0	4	1	0	0	1
ENSG00000010404	IDS	4066	4497	2991	3189	4499	2938
ENSG00000010438	PRSS3	0	1	0	1	2	1
ENSG00000010539	ZNF200	678	806	790	515	829	808
ENSG00000010610	CD4	0	0	0	1	0	1
ENSG00000010626	LRRC23	229	230	169	120	235	190
ENSG00000010671	BTK	5	3	3	5	1	5
ENSG00000010704	HFE	165	176	111	108	127	157
ENSG00000010803	SCMH1	1056	1201	1014	771	1115	996
ENSG00000010810	FYN	59	52	94	47	78	71
ENSG00000010818	HIVEP2	1013	1181	860	747	1070	866
ENSG00000010932	FMO1	17	19	19	9	16	17
ENSG00000011007	TCEB3	3730	3448	3301	2683	3737	3190
ENSG00000011009	LYPLA2	2120	2132	1908	1582	2042	2111
ENSG00000011021	CLCN6	765	973	723	494	755	766
ENSG00000011028	MRC2	787	711	502	618	648	586
ENSG00000011105	TSPAN9	753	1028	643	481	917	835
ENSG00000011114	BTBD7	4806	5274	4581	3457	4934	4730
ENSG00000011132	APBA3	267	315	276	191	325	335
ENSG00000011143	MKS1	1753	2095	1684	1294	1987	1885
ENSG00000011198	ABHD5	1191	981	1161	828	1175	1080
ENSG00000011201	ANOS1	57	52	59	31	65	39
ENSG00000011243	AKAP8L	1885	2236	2095	1312	2155	2134
ENSG00000011258	MBTD1	3297	3555	2869	2374	3164	3346
ENSG00000011260	UTP18	5792	5660	6148	4475	6597	6134
ENSG00000011275	RNF216	3507	3665	3254	2610	3608	3238
ENSG00000011295	TTC19	2845	2723	2655	2173	2896	2668
ENSG00000011304	PTBP1	21241	23581	19383	14935	23028	20971
ENSG00000011332	DPF1	209	269	241	143	254	278
ENSG00000011347	SYT7	2044	1974	1840	1359	1902	2076
ENSG00000011376	LARS2	1130	1075	1092	742	1160	1075
ENSG00000011405	PIK3C2A	3663	3869	3739	2752	4187	3824
ENSG00000011422	PLAUR	135	126	137	119	136	148
ENSG00000011426	ANLN	10419	16462	14014	7285	17676	15029
ENSG00000011451	WIZ	2947	3075	3004	2287	3069	3161
ENSG00000011454	RABGAP1	9650	12578	10092	6694	11638	10733
ENSG00000011465	DCN	10	13	9	7	4	5
ENSG00000011478	QPCTL	714	909	645	521	854	757
ENSG00000011485	PPP5C	4410	4851	4354	2908	5026	4382
ENSG00000011523	CEP68	944	893	842	626	827	938
ENSG00000011566	MAP4K3	3021	3195	3068	2396	3190	3233
ENSG00000011590	ZBTB32	37	33	42	22	29	25
ENSG00000011638	TMEM159	1469	1328	1250	1014	1274	1304
ENSG00000011677	GABRA3	0	5	3	1	2	3
ENSG00000012048	BRCA1	5321	5640	4911	3726	5635	5289
ENSG00000012061	ERCC1	1053	1150	907	645	1130	1039
ENSG00000012124	CD22	197	53	84	136	73	154
ENSG00000012171	SEMA3B	3492	1681	1717	3313	2539	2308
ENSG00000012174	MBTPS2	1892	1839	1697	1341	2008	1834
ENSG00000012211	PRICKLE3	647	576	474	511	562	524
ENSG00000012223	LTF	0	0	0	0	0	1
ENSG00000012232	EXTL3	1642	1738	1702	1152	1570	1623
ENSG00000012660	ELOVL5	5526	5605	4986	4337	6047	5430
ENSG00000012779	ALOX5	6	5	13	7	12	8
ENSG00000012817	KDM5D	1	1	0	0	4	0
ENSG00000012822	CALCOCO1	1501	1941	1102	903	1096	1554
ENSG00000012963	UBR7	5137	5613	5135	3707	5727	5499
ENSG00000012983	MAP4K5	2738	2765	2513	2014	2742	2557
ENSG00000013016	EHD3	255	232	204	167	203	216
ENSG00000013275	PSMC4	8589	8800	7909	6297	10187	8094
ENSG00000013288	MAN2B2	2384	2880	2186	1595	2611	2248
ENSG00000013293	SLC7A14	23	39	28	27	28	37
ENSG00000013297	CLDN11	46	60	39	37	48	63
ENSG00000013306	SLC25A39	10800	10258	9086	8015	11132	9399
ENSG00000013364	MVP	1290	1120	830	914	1004	913
ENSG00000013374	NUB1	1900	1983	1909	1350	1987	1949
ENSG00000013375	PGM3	2555	2764	2452	1781	2641	2584
ENSG00000013392	RWDD2A	571	530	515	391	457	581
ENSG00000013441	CLK1	3279	3704	3116	2402	3564	3401
ENSG00000013503	POLR3B	1012	1022	990	727	1149	1048
ENSG00000013523	ANGEL1	2990	2790	2603	2009	2764	2581
ENSG00000013561	RNF14	2632	2700	2712	1913	2889	2788
ENSG00000013563	DNASE1L1	892	981	821	581	911	934
ENSG00000013573	DDX11	3767	4147	3404	2623	3723	4249
ENSG00000013583	HEBP1	1062	1404	1171	749	1371	1169
ENSG00000013588	GPRC5A	11016	11184	9335	8495	12442	7816
ENSG00000013619	MAMLD1	442	478	382	308	450	393
ENSG00000013725	CD6	6	2	7	3	7	6
ENSG00000013810	TACC3	5681	8661	6786	3809	8446	7505
ENSG00000014123	UFL1	3782	3861	3640	2846	3941	3871
ENSG00000014138	POLA2	4255	4741	4250	3001	4996	4423
ENSG00000014164	ZC3H3	1128	1281	1089	813	1258	1178
ENSG00000014216	CAPN1	11752	12256	10261	7954	12045	11306
ENSG00000014257	ACPP	112	201	102	78	151	123
ENSG00000014641	MDH1	6140	6456	5680	4436	7015	5834
ENSG00000014824	SLC30A9	2842	3086	2972	2238	3340	3038
ENSG00000014914	MTMR11	1001	1112	620	680	923	861
ENSG00000014919	COX15	2398	2414	2293	1777	2592	2410
ENSG00000015133	CCDC88C	1453	1025	1142	1055	1081	1142
ENSG00000015153	YAF2	749	725	760	614	757	789
ENSG00000015171	ZMYND11	10573	12549	11726	7556	12955	11896
ENSG00000015285	WAS	79	80	92	65	68	82
ENSG00000015413	DPEP1	3	2	2	0	3	1
ENSG00000015475	BID	1909	1613	1893	1437	1878	1929
ENSG00000015479	MATR3	314	381	274	266	313	322
ENSG00000015520	NPC1L1	24	17	10	22	26	11
ENSG00000015532	XYLT2	2434	2759	2283	1605	2638	2692
ENSG00000015568	RGPD5	59	72	42	44	70	57
ENSG00000015592	STMN4	2	1	2	0	2	0
ENSG00000015676	NUDCD3	4934	5349	4404	3225	5313	4564
ENSG00000016082	ISL1	0	5	1	0	1	0
ENSG00000016391	CHDH	1035	826	917	776	846	1039
ENSG00000016402	IL20RA	27	17	28	16	19	32
ENSG00000016490	CLCA1	1	0	0	0	1	0
ENSG00000016602	CLCA4	0	3	1	0	2	2
ENSG00000016864	GLT8D1	1238	1278	1174	951	1345	1345
ENSG00000017260	ATP2C1	4868	5084	4502	3583	5421	4435
ENSG00000017483	SLC38A5	4	15	3	5	9	10
ENSG00000017797	RALBP1	4482	4430	4460	3261	4331	4576
ENSG00000018189	RUFY3	695	701	631	528	665	656
ENSG00000018236	CNTN1	4	3	4	3	2	2
ENSG00000018280	SLC11A1	78	99	87	72	77	90
ENSG00000018408	WWTR1	1006	973	902	818	833	893
ENSG00000018510	AGPS	5	2	1	1	1	0
ENSG00000018610	CXorf56	1799	2025	1800	1350	2108	2007
ENSG00000018625	ATP1A2	12	4	3	3	7	8
ENSG00000018699	TTC27	1524	1215	1442	1095	1422	1405
ENSG00000019102	VSIG2	10	7	11	10	5	15
ENSG00000019144	PHLDB1	1193	1346	996	815	1103	1193
ENSG00000019169	MARCO	0	0	0	0	1	0
ENSG00000019186	CYP24A1	103	56	48	111	80	45
ENSG00000019485	PRDM11	347	440	305	242	360	347
ENSG00000019505	SYT13	6	11	9	5	11	7
ENSG00000019549	SNAI2	38	19	73	57	28	44
ENSG00000019582	CD74	10	2	6	2	4	6
ENSG00000019991	HGF	1	0	0	0	0	0
ENSG00000019995	ZRANB1	1142	1242	1149	762	1242	1258
ENSG00000020129	NCDN	2438	2409	2115	1577	2230	2281
ENSG00000020181	ADGRA2	110	135	154	121	137	154
ENSG00000020219	CCT8L1P	1	2	0	0	0	2
ENSG00000020256	ZFP64	1333	1396	1176	860	1223	1240
ENSG00000020426	MNAT1	1691	1687	1626	1250	1848	1767
ENSG00000020577	SAMD4A	485	349	535	402	408	423
ENSG00000020633	RUNX3	2	0	1	2	2	2
ENSG00000020922	MRE11A	1771	2235	1638	1223	2089	1921
ENSG00000021300	PLEKHB1	596	923	693	310	765	890
ENSG00000021355	SERPINB1	1608	1373	1541	1192	1404	1515
ENSG00000021461	CYP3A43	14	9	8	8	11	8
ENSG00000021488	SLC7A9	15	15	18	10	10	11
ENSG00000021574	SPAST	1731	1622	1719	1344	1657	1688
ENSG00000021645	NRXN3	9	12	5	3	8	4
ENSG00000021762	OSBPL5	636	732	576	421	642	705
ENSG00000021776	AQR	4438	5005	3989	3264	5315	4526
ENSG00000021826	CPS1	262	260	254	164	219	308
ENSG00000022267	FHL1	291	483	378	168	388	417
ENSG00000022277	RTFDC1	8593	9184	8594	6031	10271	8843
ENSG00000022355	GABRA1	3	11	11	1	4	4
ENSG00000022556	NLRP2	6	12	8	6	10	8
ENSG00000022567	SLC45A4	646	786	664	497	803	674
ENSG00000022840	RNF10	6622	7516	6646	4491	7137	6699
ENSG00000022976	ZNF839	674	727	636	509	645	685
ENSG00000023041	ZDHHC6	2039	1929	1921	1593	2082	2028
ENSG00000023171	GRAMD1B	7	9	8	7	7	8
ENSG00000023191	RNH1	4614	4544	4348	3144	4670	4599
ENSG00000023228	NDUFS1	8392	8335	8036	6023	9151	8801
ENSG00000023287	RB1CC1	3922	4226	3571	2987	4064	4059
ENSG00000023318	ERP44	3656	4128	3641	2648	4567	3641
ENSG00000023330	ALAS1	1633	1379	1677	1207	1557	1551
ENSG00000023445	BIRC3	13	17	21	11	13	11
ENSG00000023516	AKAP11	6251	6363	6042	4832	6617	6008
ENSG00000023572	GLRX2	979	903	828	753	1015	863
ENSG00000023608	SNAPC1	389	421	356	328	410	422
ENSG00000023697	DERA	1101	1139	1149	804	1171	1152
ENSG00000023734	STRAP	6721	6232	6202	5362	7300	6213
ENSG00000023839	ABCC2	126	113	78	61	122	78
ENSG00000023892	DEF6	385	479	330	298	449	455
ENSG00000023902	PLEKHO1	306	255	373	246	252	382
ENSG00000023909	GCLM	1534	1562	1634	1233	1747	1660
ENSG00000024048	UBR2	4063	4578	3762	2913	4256	3981
ENSG00000024422	EHD2	583	447	535	454	501	718
ENSG00000024526	DEPDC1	1838	3395	2732	1369	3135	3033
ENSG00000024862	CCDC28A	415	447	444	262	418	503
ENSG00000025039	RRAGD	143	117	136	123	114	140
ENSG00000025156	HSF2	947	965	875	641	998	987
ENSG00000025293	PHF20	2222	2295	2048	1581	2348	2188
ENSG00000025423	HSD17B6	91	61	76	55	84	89
ENSG00000025434	NR1H3	370	381	333	253	365	356
ENSG00000025708	TYMP	37	35	37	32	25	52
ENSG00000025770	NCAPH2	1833	2099	1664	1240	2063	1847
ENSG00000025772	TOMM34	1576	1601	1575	1159	1706	1532
ENSG00000025796	SEC63	5713	5909	5388	4208	6177	5866
ENSG00000025800	KPNA6	5435	5542	5011	4112	5505	5185
ENSG00000026025	VIM	20	34	8	4	24	15
ENSG00000026036	RTEL1-TNFRSF6B	471	512	403	306	371	624
ENSG00000026103	FAS	180	183	186	150	224	159
ENSG00000026297	RNASET2	1263	1526	1265	976	1601	1273
ENSG00000026508	CD44	5345	5239	3047	3600	5020	3789
ENSG00000026559	KCNG1	53	51	77	43	50	51
ENSG00000026652	AGPAT4	2	3	6	0	2	3
ENSG00000026751	SLAMF7	5	13	3	5	8	13
ENSG00000026950	BTN3A1	8	10	7	8	7	12
ENSG00000027001	MIPEP	1445	1630	1184	987	1553	1223
ENSG00000027075	PRKCH	1471	1317	1157	1073	1372	1237
ENSG00000027644	INSRR	2	1	0	0	2	1
ENSG00000027697	IFNGR1	1193	1012	1177	873	1131	1157
ENSG00000027847	B4GALT7	895	984	832	661	963	886
ENSG00000027869	SH2D2A	1	1	0	0	0	4
ENSG00000028116	VRK2	1051	1043	1079	795	1137	1052
ENSG00000028137	TNFRSF1B	9	14	7	7	2	11
ENSG00000028203	VEZT	2975	3436	3157	2296	3742	3217
ENSG00000028277	POU2F2	50	81	35	41	48	58
ENSG00000028310	BRD9	2710	2964	2549	1956	2909	2669
ENSG00000028528	SNX1	5991	6884	5582	3923	6406	5957
ENSG00000028839	TBPL1	760	807	771	601	801	839
ENSG00000029153	ARNTL2	942	1020	1166	755	1175	1060
ENSG00000029363	BCLAF1	16364	18418	15702	12823	19975	17183
ENSG00000029364	SLC39A9	5296	6111	5333	3941	5900	5498
ENSG00000029534	ANK1	114	112	96	76	123	114
ENSG00000029559	IBSP	29	46	41	18	32	46
ENSG00000029639	TFB1M	303	334	274	214	341	290
ENSG00000029725	RABEP1	5141	5741	5636	3712	5584	5705
